A,Z,,,,
86,37,86Rb,80006.831,747.934,8.697
86,38,86Sr,80004.544,748.928,8.708
86,39,86Y,80009.272,742.906,8.638
86,40,86Zr,80010.245,740.64,8.612
86,41,86Nb,80017.704,731.888,8.51
86,42,86Mo,80022.463,725.835,8.44
87,34,87Se,80956.025,742.185,8.531
87,35,87Br,80948.237,748.68,8.606
87,36,87Kr,80940.874,754.75,8.675
87,37,87Rb,80936.474,757.856,8.711
87,38,87Sr,80935.681,757.356,8.705
87,39,87Y,80937.031,754.712,8.675
87,40,87Zr,80940.191,750.259,8.624
87,41,87Nb,80944.848,744.309,8.555
87,42,87Mo,80950.827,737.037,8.472
88,34,88Se,81890.219,747.557,8.495
88,35,88Br,81882.858,753.624,8.564
88,36,88Kr,81873.385,761.804,8.657
88,37,88Rb,81869.957,763.939,8.681
88,38,88Sr,81864.133,768.469,8.733
88,39,88Y,81867.245,764.064,8.683
88,40,88Zr,81867.41,762.606,8.666
88,41,88Nb,81874.452,754.27,8.571
88,42,88Mo,81877.311,750.118,8.524
89,35,89Br,82816.512,759.536,8.534
89,36,89Kr,82807.841,766.913,8.617
89,37,89Rb,82802.347,771.114,8.664
89,38,89Sr,82797.34,774.828,8.706
89,39,89Y,82795.336,775.538,8.714
89,40,89Zr,82797.658,771.923,8.673
89,41,89Nb,82801.366,766.922,8.617
89,42,89Mo,82806.501,760.493,8.545
90,35,90Br,83751.956,763.657,8.485
90,36,90Kr,83741.095,773.225,8.591
90,37,90Rb,83736.192,776.834,8.631
90,38,90Sr,83729.102,782.631,8.696
90,39,90Y,83728.045,782.395,8.693
90,40,90Zr,83725.254,783.893,8.71
90,41,90Nb,83730.854,776.999,8.633
90,42,90Mo,83732.832,773.728,8.597
90,43,90Tc,83741.278,763.988,8.489
91,35,91Br,84686.56,768.618,8.446
91,36,91Kr,84676.249,777.636,8.545
91,37,91Rb,84669.303,783.289,8.608
91,38,91Sr,84662.892,788.406,8.664
91,39,91Y,84659.681,790.324,8.685
91,40,91Zr,84657.625,791.087,8.693
91,41,91Nb,84658.372,789.046,8.671
91,42,91Mo,84662.289,783.836,8.614
91,43,91Tc,84668.002,776.83,8.537
92,35,92Br,85622.984,771.76,8.389
92,36,92Kr,85610.268,783.182,8.513
92,37,92Rb,85603.77,788.387,8.569
92,38,92Sr,85595.163,795.701,8.649
92,39,92Y,85592.707,796.863,8.662
92,40,92Zr,85588.555,799.722,8.693
92,41,92Nb,85590.05,796.934,8.662
92,42,92Mo,85589.182,796.508,8.658
92,43,92Tc,85596.541,787.856,8.564
93,36,93Kr,86546.527,786.488,8.457
93,37,93Rb,86537.418,794.304,8.541
93,38,93Sr,86529.44,800.989,8.613
93,39,93Y,86524.791,804.344,8.649
93,40,93Zr,86521.386,806.456,8.672
93,41,93Nb,86520.784,805.765,8.664
93,42,93Mo,86520.678,804.577,8.651
93,43,93Tc,86523.367,800.595,8.609
93,44,93Ru,86529.189,793.48,8.532
94,37,94Rb,87472.977,798.31,8.493
94,38,94Sr,87462.179,807.815,8.594
94,39,94Y,87458.16,810.541,8.623
94,40,94Zr,87452.73,814.677,8.667
94,41,94Nb,87453.122,812.993,8.649
94,42,94Mo,87450.566,814.256,8.662
94,43,94Tc,87454.31,809.217,8.609
94,44,94Ru,87455.385,806.849,8.584
95,37,95Rb,88407.17,803.683,8.46
95,38,95Sr,88397.396,812.163,8.549
95,39,95Y,88390.795,817.471,8.605
95,40,95Zr,88385.833,821.14,8.644
95,41,95Nb,88384.198,821.481,8.647
95,42,95Mo,88382.762,821.625,8.649
95,43,95Tc,88383.941,819.152,8.623
95,44,95Ru,88385.997,815.802,8.587
95,45,95Rh,88390.596,809.91,8.525
96,37,96Rb,89343.293,807.125,8.408
96,38,96Sr,89331.068,818.057,8.521
96,39,96Y,89325.149,822.682,8.57
96,40,96Zr,89317.542,828.996,8.635
96,41,96Nb,89316.87,828.375,8.629
96,42,96Mo,89313.173,830.779,8.654
96,43,96Tc,89315.635,827.023,8.615
96,44,96Ru,89314.869,826.496,8.609
96,45,96Rh,89320.751,819.32,8.535
96,46,96Pd,89323.689,815.089,8.491
97,37,97Rb,90277.652,812.331,8.375
97,38,97Sr,90266.713,821.977,8.474
97,39,97Y,90258.732,828.665,8.543
97,40,97Zr,90251.533,834.571,8.604
97,41,97Nb,90248.363,836.448,8.623
97,42,97Mo,90245.917,837.6,8.635
97,43,97Tc,90245.726,836.497,8.624
97,44,97Ru,90246.323,834.607,8.604
97,45,97Rh,90249.334,830.303,8.56
97,46,97Pd,90253.613,824.73,8.502
97,47,97Ag,90260.082,816.968,8.422
98,37,98Rb,91213.286,816.263,8.329
98,38,98Sr,91200.349,827.906,8.448
98,39,98Y,91194.017,832.945,8.499
98,40,98Zr,91184.686,840.983,8.581
98,41,98Nb,91181.933,842.442,8.596
98,42,98Mo,91176.84,846.243,8.635
98,43,98Tc,91178.012,843.777,8.61
98,44,98Ru,91175.705,844.79,8.62
98,45,98Rh,91180.243,838.959,8.561
98,46,98Pd,91181.607,836.302,8.534
98,47,98Ag,91189.336,827.279,8.442
98,48,98Cd,91194.255,821.067,8.378
99,37,99Rb,92148.12,820.994,8.293
99,38,99Sr,92136.299,831.522,8.399
99,39,99Y,92127.777,838.75,8.472
99,40,99Zr,92119.699,845.535,8.541
99,41,99Nb,92114.629,849.312,8.579
99,42,99Mo,92110.48,852.168,8.608
99,43,99Tc,92108.611,852.743,8.614
99,44,99Ru,92107.806,852.255,8.609
99,45,99Rh,92109.338,849.429,8.58
99,46,99Pd,92112.213,845.261,8.538
99,47,99Ag,92117.13,839.051,8.475
100,38,100Sr,93069.763,837.623,8.376
100,39,100Y,93062.182,843.911,8.439
100,40,100Zr,93052.361,852.438,8.524
100,41,100Nb,93048.511,854.995,8.55
100,42,100Mo,93041.755,860.458,8.605
100,43,100Tc,93041.412,859.508,8.595
100,44,100Ru,93037.698,861.928,8.619
100,45,100Rh,93040.822,857.511,8.575
100,46,100Pd,93040.669,856.37,8.564
100,47,100Ag,93047.234,848.512,8.485
100,48,100Cd,93050.623,843.83,8.438
100,49,100In,93060.192,832.967,8.33
100,50,100Sn,93067.071,824.795,8.248
101,37,101Rb,94018.388,829.857,8.216
101,38,101Sr,94006.067,840.884,8.326
101,39,101Y,93996.056,849.602,8.412
101,40,101Zr,93986.995,857.37,8.489
101,41,101Nb,93981.002,862.069,8.535
101,42,101Mo,93975.922,865.856,8.573
101,43,101Tc,93972.586,867.899,8.593
101,44,101Ru,93970.462,868.73,8.601
101,45,101Rh,93970.492,867.406,8.588
101,46,101Pd,93971.961,864.644,8.561
101,47,101Ag,93975.658,859.653,8.511
101,48,101Cd,93980.617,853.401,8.45
102,38,102Sr,94939.891,846.626,8.3
102,39,102Y,94930.57,854.653,8.379
102,40,102Zr,94920.209,863.721,8.468
102,41,102Nb,94915.088,867.549,8.505
102,42,102Mo,94907.37,873.973,8.568
102,43,102Tc,94905.85,874.2,8.571
102,44,102Ru,94900.807,877.95,8.607
102,45,102Rh,94902.619,874.844,8.577
102,46,102Pd,94900.958,875.212,8.581
102,47,102Ag,94906.107,868.77,8.517
102,48,102Cd,94908.183,865.4,8.484
102,49,102In,94916.64,855.65,8.389
102,50,102Sn,94921.909,849.088,8.324
103,40,103Zr,95855.073,868.422,8.431
103,41,103Nb,95847.612,874.59,8.491
103,42,103Mo,95841.571,879.338,8.537
103,43,103Tc,95837.313,882.302,8.566
103,44,103Ru,95834.141,884.182,8.584
103,45,103Rh,95832.866,884.163,8.584
103,46,103Pd,95832.898,882.837,8.571
103,47,103Ag,95835.075,879.367,8.538
103,48,103Cd,95838.706,874.443,8.49
103,49,103In,95844.245,867.61,8.423
104,41,104Nb,96782.206,879.561,8.457
104,42,104Mo,96773.585,886.889,8.528
104,43,104Tc,96770.914,888.267,8.541
104,44,104Ru,96764.804,893.083,8.587
104,45,104Rh,96765.433,891.162,8.569
104,46,104Pd,96762.481,892.82,8.585
104,47,104Ag,96766.249,887.758,8.536
104,48,104Cd,96766.874,885.84,8.518
104,49,104In,96774.228,877.193,8.435
104,50,104Sn,96778.237,871.89,8.384
105,41,105Nb,97715.07,886.263,8.441
105,42,105Mo,97708.069,891.97,8.495
105,43,105Tc,97702.608,896.138,8.535
105,44,105Ru,97698.459,898.994,8.562
105,45,105Rh,97696.03,900.129,8.573
105,46,105Pd,97694.952,899.914,8.571
105,47,105Ag,97695.786,897.787,8.55
105,48,105Cd,97698.013,894.266,8.517
105,49,105In,97702.351,888.635,8.463
105,50,105Sn,97708.061,881.632,8.396
105,51,105Sb,97716.99,871.409,8.299
106,42,106Mo,98640.648,898.957,8.481
106,43,106Tc,98636.617,901.694,8.507
106,44,106Ru,98629.559,907.459,8.561
106,45,106Rh,98629.009,906.716,8.554
106,46,106Pd,98624.957,909.474,8.58
106,47,106Ag,98627.411,905.727,8.545
106,48,106Cd,98626.705,905.14,8.539
106,49,106In,98632.72,897.831,8.47
106,50,106Sn,98635.385,893.873,8.433
106,52,106Te,98653.583,873.088,8.237
107,42,107Mo,99575.457,903.713,8.446
107,43,107Tc,99568.786,909.091,8.496
107,44,107Ru,99563.455,913.128,8.534
107,45,107Rh,99560.001,915.289,8.554
107,46,107Pd,99557.985,916.012,8.561
107,47,107Ag,99557.44,915.263,8.554
107,48,107Cd,99558.346,913.064,8.533
107,49,107In,99561.26,908.857,8.494
107,50,107Sn,99565.729,903.094,8.44
108,43,108Tc,100503.43,914.012,8.463
108,44,108Ru,100495.199,920.95,8.527
108,45,108Rh,100493.338,921.517,8.533
108,46,108Pd,100488.323,925.239,8.567
108,47,108Ag,100489.734,922.535,8.542
108,48,108Cd,100487.573,923.402,8.55
108,49,108In,100492.198,917.484,8.495
108,50,108Sn,100493.762,914.627,8.469
108,52,108Te,100509.061,896.741,8.303
109,43,109Tc,101436.334,920.673,8.447
109,44,109Ru,101429.513,926.201,8.497
109,45,109Rh,101424.841,929.58,8.528
109,46,109Pd,101421.734,931.393,8.545
109,47,109Ag,101420.108,931.727,8.548
109,48,109Cd,101419.811,930.73,8.539
109,49,109In,101421.319,927.928,8.513
109,50,109Sn,101424.658,923.296,8.471
109,51,109Sb,101430.527,916.134,8.405
109,52,109Te,101438.665,906.702,8.318
109,53,109I,101448.154,895.92,8.219
110,43,110Tc,102371.408,925.165,8.411
110,44,110Ru,102361.877,933.402,8.485
110,45,110Rh,102358.566,935.42,8.504
110,46,110Pd,102352.486,940.207,8.547
110,47,110Ag,102352.864,938.536,8.532
110,48,110Cd,102349.46,940.646,8.551
110,49,110In,102352.827,935.986,8.509
110,50,110Sn,102352.947,934.572,8.496
110,52,110Te,102365.489,919.444,8.359
110,54,110Xe,102384.847,897.499,8.159
111,43,111Tc,103304.642,931.496,8.392
111,44,111Ru,103296.681,938.164,8.452
111,45,111Rh,103290.483,943.068,8.496
111,46,111Pd,103286.325,945.933,8.522
111,47,111Ag,103283.597,947.368,8.535
111,48,111Cd,103282.05,947.622,8.537
111,49,111In,103282.4,945.978,8.522
111,50,111Sn,103284.34,942.745,8.493
111,51,111Sb,103288.886,936.905,8.441
111,52,111Te,103295.784,928.715,8.367
112,43,112Tc,104239.357,936.347,8.36
112,44,112Ru,104229.366,945.045,8.438
112,45,112Rh,104224.595,948.523,8.469
112,46,112Pd,104217.488,954.336,8.521
112,47,112Ag,104216.689,953.842,8.516
112,48,112Cd,104212.221,957.016,8.545
112,49,112In,104214.295,953.649,8.515
112,50,112Sn,104213.119,953.532,8.514
112,51,112Sb,104219.668,945.69,8.444
112,52,112Te,104223.458,940.606,8.398
112,54,112Xe,104239.766,921.712,8.23
113,44,113Ru,105164.14,949.836,8.406
113,45,113Rh,105157.149,955.534,8.456
113,46,113Pd,105151.628,959.761,8.493
113,47,113Ag,105147.774,962.322,8.516
113,48,113Cd,105145.246,963.556,8.527
113,49,113In,105144.415,963.094,8.523
113,50,113Sn,105144.941,961.275,8.507
113,51,113Sb,105148.343,956.58,8.465
113,52,113Te,105153.905,949.724,8.405
113,53,113I,105160.611,941.725,8.334
113,54,113Xe,105169.14,931.903,8.247
113,55,113Cs,105179.019,920.731,8.148
114,45,114Rh,106091.693,960.555,8.426
114,46,114Pd,106083.315,967.64,8.488
114,47,114Ag,106081.352,968.309,8.494
114,48,114Cd,106075.769,972.599,8.532
114,49,114In,106076.707,970.368,8.512
114,50,114Sn,106074.207,971.574,8.523
114,51,114Sb,106079.742,964.746,8.463
114,52,114Te,106081.857,961.338,8.433
114,54,114Xe,106095.638,944.97,8.289
114,56,114Ba,106115.752,922.269,8.09
115,44,115Ru,107032.898,960.209,8.35
115,45,115Rh,107024.607,967.206,8.41
115,46,115Pd,107017.906,972.614,8.458
115,47,115Ag,107012.805,976.422,8.491
115,48,115Cd,107009.193,978.74,8.511
115,49,115In,107007.236,979.404,8.517
115,50,115Sn,107006.226,979.121,8.514
115,51,115Sb,107008.748,975.305,8.481
115,52,115Te,107013.177,969.583,8.431
115,53,115I,107018.391,963.076,8.375
115,54,115Xe,107025.561,954.612,8.301
116,45,116Rh,107959.571,971.808,8.378
116,46,116Pd,107949.84,980.245,8.45
116,47,116Ag,107946.719,982.073,8.466
116,48,116Cd,107940.059,987.44,8.512
116,49,116In,107940.017,986.188,8.502
116,50,116Sn,107936.227,988.684,8.523
116,51,116Sb,107940.424,983.195,8.476
116,52,116Te,107941.465,980.86,8.456
116,53,116I,107948.733,972.299,8.382
116,54,116Xe,107952.665,967.074,8.337
117,46,117Pd,108884.764,984.887,8.418
117,47,117Ag,108878.513,989.844,8.46
117,48,117Cd,108873.847,993.217,8.489
117,49,117In,108870.816,994.955,8.504
117,50,117Sn,108868.85,995.627,8.51
117,51,117Sb,108870.094,993.09,8.488
117,52,117Te,108873.131,988.76,8.451
117,53,117I,108877.282,983.315,8.404
117,54,117Xe,108883.021,976.283,8.344
117,55,117Cs,108890.255,967.756,8.271
118,46,118Pd,109817.318,991.898,8.406
118,47,118Ag,109812.707,995.216,8.434
118,48,118Cd,109805.057,1001.572,8.488
118,49,118In,109804.025,1001.311,8.486
118,50,118Sn,109799.087,1004.955,8.517
118,51,118Sb,109802.234,1000.515,8.479
118,52,118Te,109802.001,999.455,8.47
118,53,118I,109808.24,991.923,8.406
118,54,118Xe,109810.621,988.248,8.375
118,55,118Cs,109819.78,977.796,8.286
119,47,119Ag,110745.211,1002.277,8.422
119,48,119Cd,110739.35,1006.845,8.461
119,49,119In,110735.045,1009.856,8.486
119,50,119Sn,110732.169,1011.438,8.499
119,51,119Sb,110732.25,1010.065,8.488
119,52,119Te,110734.032,1006.989,8.462
119,53,119I,110736.939,1002.789,8.427
119,54,119Xe,110741.4,997.035,8.378
119,55,119Cs,110747.378,989.763,8.317
119,56,119Ba,110754.582,981.266,8.246
120,46,120Pd,111685.626,1002.721,8.356
120,47,120Ag,111679.615,1007.438,8.395
120,48,120Cd,111670.78,1014.98,8.458
120,49,120In,111668.503,1015.964,8.466
120,50,120Sn,111662.627,1020.546,8.505
120,51,120Sb,111664.797,1017.083,8.476
120,52,120Te,111663.305,1017.282,8.477
120,53,120I,111668.409,1010.884,8.424
120,54,120Xe,111669.516,1008.484,8.404
120,55,120Cs,111677.288,999.419,8.328
120,56,120Ba,111681.776,993.637,8.28
121,47,121Ag,112612.099,1014.52,8.384
121,48,121Cd,112605.188,1020.137,8.431
121,49,121In,112599.896,1024.136,8.464
121,50,121Sn,112596.022,1026.717,8.485
121,51,121Sb,112595.12,1026.325,8.482
121,52,121Te,112595.653,1024.499,8.467
121,53,121I,112597.406,1021.453,8.442
121,54,121Xe,112600.709,1016.856,8.404
121,55,121Cs,112605.571,1010.701,8.353
121,56,121Ba,112611.42,1003.559,8.294
122,48,122Cd,113537.012,1027.879,8.425
122,49,122In,113533.651,1029.946,8.442
122,50,122Sn,113526.774,1035.53,8.488
122,51,122Sb,113527.878,1033.132,8.468
122,52,122Te,113525.384,1034.333,8.478
122,53,122I,113529.107,1029.317,8.437
122,54,122Xe,113529.321,1027.81,8.425
122,55,122Cs,113536.025,1019.812,8.359
122,56,122Ba,113539.045,1015.499,8.324
123,48,123Cd,114471.926,1032.53,8.395
123,49,123In,114465.299,1037.864,8.438
123,50,123Sn,114460.393,1041.476,8.467
123,51,123Sb,114458.479,1042.097,8.472
123,52,123Te,114458.02,1041.263,8.466
123,53,123I,114458.738,1039.251,8.449
123,54,123Xe,114460.921,1035.775,8.421
123,55,123Cs,114464.615,1030.788,8.38
123,56,123Ba,114469.493,1024.616,8.33
124,48,124Cd,115404.02,1040.001,8.387
124,49,124In,115399.339,1043.389,8.414
124,50,124Sn,115391.471,1049.963,8.467
124,51,124Sb,115391.576,1048.565,8.456
124,52,124Te,115388.161,1050.686,8.473
124,53,124I,115390.81,1046.745,8.441
124,54,124Xe,115390.004,1046.257,8.438
124,55,124Cs,115395.422,1039.546,8.383
124,56,124Ba,115397.552,1036.123,8.356
124,57,124La,115405.871,1026.51,8.278
125,48,125Cd,116338.864,1044.723,8.358
125,49,125In,116331.233,1051.06,8.408
125,50,125Sn,116325.303,1055.696,8.446
125,51,125Sb,116322.435,1057.271,8.458
125,52,125Te,116321.157,1057.256,8.458
125,53,125I,116320.832,1056.287,8.45
125,54,125Xe,116321.966,1053.861,8.431
125,55,125Cs,116324.559,1049.974,8.4
125,56,125Ba,116328.468,1044.772,8.358
125,57,125La,116333.866,1038.081,8.305
126,48,126Cd,117271.388,1051.764,8.347
126,49,126In,117265.397,1056.462,8.385
126,50,126Sn,117256.676,1063.889,8.444
126,51,126Sb,117255.785,1063.487,8.44
126,52,126Te,117251.609,1066.369,8.463
126,53,126I,117253.252,1063.433,8.44
126,54,126Xe,117251.483,1063.909,8.444
126,55,126Cs,117255.796,1058.303,8.399
126,56,126Ba,117256.96,1055.845,8.38
126,57,126La,117264.149,1047.363,8.312
126,58,126Ce,117267.787,1042.432,8.273
127,48,127Cd,118206.692,1056.025,8.315
127,49,127In,118197.711,1063.713,8.376
127,50,127Sn,118190.691,1069.44,8.421
127,51,127Sb,118186.979,1071.858,8.44
127,52,127Te,118184.887,1072.657,8.446
127,53,127I,118183.674,1072.577,8.445
127,54,127Xe,118183.825,1071.132,8.434
127,55,127Cs,118185.395,1068.269,8.412
127,56,127Ba,118188.308,1064.063,8.378
127,57,127La,118192.717,1058.36,8.334
127,58,127Ce,118198.122,1051.662,8.281
128,48,128Cd,119139.416,1062.867,8.304
128,49,128In,119131.835,1069.154,8.353
128,50,128Sn,119122.349,1077.347,8.417
128,51,128Sb,119120.564,1077.839,8.421
128,52,128Te,119115.67,1081.439,8.449
128,53,128I,119116.413,1079.403,8.433
128,54,128Xe,119113.78,1080.743,8.443
128,55,128Cs,119117.198,1076.031,8.406
128,56,128Ba,119117.216,1074.72,8.396
128,57,128La,119123.477,1067.166,8.337
128,58,128Ce,119126.062,1063.287,8.307
128,59,128Pr,119134.754,1053.302,8.229
129,49,129In,120064.749,1075.806,8.34
129,50,129Sn,120056.584,1082.677,8.393
129,51,129Sb,120052.039,1085.929,8.418
129,52,129Te,120049.153,1087.522,8.43
129,53,129I,120047.142,1088.239,8.436
129,54,129Xe,120046.436,1087.651,8.431
129,55,129Cs,120047.123,1085.672,8.416
129,56,129Ba,120049.047,1082.454,8.391
129,57,129La,120052.275,1077.933,8.356
129,58,129Ce,120056.803,1072.112,8.311
129,59,129Pr,120062.805,1064.816,8.254
130,48,130Cd,121008.124,1073.289,8.256
130,49,130In,120999.293,1080.827,8.314
130,50,130Sn,120988.533,1090.294,8.387
130,51,130Sb,120985.869,1091.664,8.397
130,52,130Te,120980.298,1095.941,8.43
130,53,130I,120980.207,1094.74,8.421
130,54,130Xe,120976.746,1096.907,8.438
130,55,130Cs,120979.217,1093.143,8.409
130,56,130Ba,120978.344,1092.722,8.406
130,57,130La,120983.467,1086.306,8.356
130,58,130Ce,120985.161,1083.319,8.333
130,59,130Pr,120992.893,1074.294,8.264
130,60,130Nd,120996.966,1068.927,8.223
131,49,131In,121932.54,1087.145,8.299
131,50,131Sn,121922.852,1095.54,8.363
131,51,131Sb,121917.667,1099.432,8.393
131,52,131Te,121913.934,1101.871,8.411
131,53,131I,121911.188,1103.323,8.422
131,54,131Xe,121909.707,1103.512,8.424
131,55,131Cs,121909.551,1102.374,8.415
131,56,131Ba,121910.416,1100.216,8.399
131,57,131La,121912.82,1096.519,8.37
131,58,131Ce,121916.358,1091.687,8.333
131,59,131Pr,121921.287,1085.465,8.286
131,60,131Nd,121927.287,1078.172,8.23
132,49,132In,122869.751,1089.5,8.254
132,50,132Sn,122855.106,1102.851,8.355
132,51,132Sb,122851.475,1105.189,8.373
132,52,132Te,122845.456,1109.915,8.408
132,53,132I,122844.427,1109.65,8.406
132,54,132Xe,122840.335,1112.448,8.428
132,55,132Cs,122841.949,1109.541,8.406
132,56,132Ba,122840.159,1110.038,8.409
132,57,132La,122844.343,1104.561,8.368
132,58,132Ce,122845.098,1102.513,8.352
132,59,132Pr,122851.851,1094.466,8.291
132,60,132Nd,122855.124,1089.9,8.257
133,50,133Sn,123792.204,1105.319,8.311
133,51,133Sb,123783.7,1112.529,8.365
133,52,133Te,123779.187,1115.749,8.389
133,53,133I,123775.734,1117.909,8.405
133,54,133Xe,123773.466,1118.883,8.413
133,55,133Cs,123772.528,1118.528,8.41
133,56,133Ba,123772.534,1117.228,8.4
133,57,133La,123774.083,1114.386,8.379
133,58,133Ce,123776.643,1110.533,8.35
133,59,133Pr,123780.617,1105.266,8.31
133,60,133Nd,123785.714,1098.875,8.262
133,61,133Pm,123792.123,1091.173,8.204
134,50,134Sn,124727.848,1109.24,8.278
134,51,134Sb,124719.967,1115.827,8.327
134,52,134Te,124711.067,1123.434,8.384
134,53,134I,124709.043,1124.165,8.389
134,54,134Xe,124704.479,1127.435,8.414
134,55,134Cs,124705.202,1125.419,8.399
134,56,134Ba,124702.632,1126.696,8.408
134,57,134La,124705.852,1122.182,8.374
134,58,134Ce,124705.724,1121.017,8.366
134,59,134Pr,124711.539,1113.909,8.313
134,60,134Nd,124713.892,1110.262,8.286
134,61,134Pm,124722.287,1100.574,8.213
135,51,135Sb,125655.921,1119.439,8.292
135,52,135Te,125647.29,1126.776,8.346
135,53,135I,125640.819,1131.954,8.385
135,54,135Xe,125637.681,1133.799,8.399
135,55,135Cs,125636.005,1134.181,8.401
135,56,135Ba,125635.225,1133.668,8.398
135,57,135La,125635.914,1131.686,8.383
135,58,135Ce,125637.429,1128.877,8.362
135,59,135Pr,125640.607,1124.406,8.329
135,60,135Nd,125644.818,1118.902,8.288
135,61,135Pm,125650.541,1111.885,8.236
135,62,135Sm,125657.15,1103.983,8.178
136,52,136Te,126582.184,1131.448,8.319
136,53,136I,126576.603,1135.735,8.351
136,54,136Xe,126569.167,1141.878,8.396
136,55,136Cs,126568.742,1141.009,8.39
136,56,136Ba,126565.683,1142.775,8.403
136,57,136La,126568.019,1139.146,8.376
136,58,136Ce,126567.08,1138.792,8.373
136,59,136Pr,126571.71,1132.868,8.33
136,60,136Nd,126573.327,1129.958,8.309
136,61,136Pm,126580.815,1121.177,8.244
136,62,136Sm,126584.693,1116.005,8.206
137,52,137Te,127518.548,1134.649,8.282
137,53,137I,127511.094,1140.81,8.327
137,54,137Xe,127504.707,1145.903,8.364
137,55,137Cs,127500.029,1149.288,8.389
137,56,137Ba,127498.343,1149.681,8.392
137,57,137La,127498.452,1148.278,8.382
137,58,137Ce,127499.163,1146.274,8.367
137,59,137Pr,127501.354,1142.79,8.342
137,60,137Nd,127504.44,1138.41,8.31
137,61,137Pm,127509.436,1132.121,8.264
137,62,137Sm,127514.968,1125.296,8.214
138,53,138I,128446.761,1144.708,8.295
138,54,138Xe,128438.43,1151.746,8.346
138,55,138Cs,128435.182,1153.7,8.36
138,56,138Ba,128429.296,1158.293,8.393
138,57,138La,128430.522,1155.774,8.375
138,58,138Ce,128428.967,1156.035,8.377
138,59,138Pr,128432.893,1150.816,8.339
138,60,138Nd,128433.496,1148.92,8.326
138,61,138Pm,128440.063,1141.059,8.269
138,62,138Sm,128442.994,1136.835,8.238
138,63,138Eu,128452.231,1126.305,8.162
139,53,139I,129381.745,1149.289,8.268
139,54,139Xe,129374.43,1155.311,8.312
139,55,139Cs,129368.862,1159.586,8.342
