A,Z,,,,
185,80,185Hg,172259.336,1456.783,7.875
185,81,185Tl,172265.241,1449.585,7.836
185,82,185Pb,172272.949,1440.583,7.787
186,73,186Ta,173181.973,1482.765,7.972
186,74,186W,173177.563,1485.882,7.989
186,75,186Re,173177.631,1484.52,7.981
186,76,186Os,173176.051,1484.807,7.983
186,77,186Ir,173179.367,1480.198,7.958
186,78,186Pt,173180.165,1478.107,7.947
186,79,186Au,173185.803,1471.176,7.91
186,80,186Hg,173188.468,1467.217,7.888
186,81,186Tl,173196.306,1458.086,7.839
186,82,186Pb,173201.304,1451.795,7.805
186,83,186Bi,173212.304,1439.501,7.739
187,74,187W,174111.662,1491.348,7.975
187,75,187Re,174109.84,1491.877,7.978
187,76,187Os,174109.326,1491.097,7.974
187,77,187Ir,174110.318,1488.813,7.962
187,78,187Pt,174112.81,1485.027,7.941
187,79,187Au,174116.007,1480.537,7.917
187,80,187Hg,174120.383,1474.868,7.887
187,81,187Tl,174125.546,1468.411,7.852
187,82,187Pb,174132.499,1460.165,7.808
187,83,187Bi,174140.595,1450.776,7.758
188,74,188W,175044.394,1498.182,7.969
188,75,188Re,175043.533,1497.749,7.967
188,76,188Os,175040.902,1499.087,7.974
188,77,188Ir,175043.2,1495.496,7.955
188,78,188Pt,175043.194,1494.209,7.948
188,79,188Au,175048.205,1487.904,7.914
188,80,188Hg,175049.793,1485.023,7.899
188,81,188Tl,175057.134,1476.389,7.853
188,82,188Pb,175061.158,1471.071,7.825
188,83,188Bi,175071.262,1459.674,7.764
188,84,188Po,175077.413,1452.23,7.725
189,74,189W,175979.075,1503.066,7.953
189,75,189Re,175976.066,1504.782,7.962
189,76,189Os,175974.547,1505.007,7.963
189,77,189Ir,175974.569,1503.692,7.956
189,78,189Pt,175976.028,1500.94,7.941
189,79,189Au,175978.418,1497.257,7.922
189,80,189Hg,175981.859,1492.522,7.897
189,81,189Tl,175986.376,1486.712,7.866
189,82,189Pb,175992.587,1479.208,7.826
189,83,189Bi,175999.896,1470.605,7.781
189,84,189Po,176008.03,1461.178,7.731
190,74,190W,176911.749,1509.958,7.947
190,75,190Re,176909.968,1510.445,7.95
190,76,190Os,176906.32,1512.799,7.962
190,77,190Ir,176907.764,1510.062,7.948
190,78,190Pt,176906.682,1509.851,7.947
190,79,190Au,176910.613,1504.627,7.919
190,80,190Hg,176911.613,1502.334,7.907
190,81,190Tl,176918.142,1494.511,7.866
190,82,190Pb,176921.544,1489.816,7.841
190,83,190Bi,176930.55,1479.517,7.787
190,84,190Po,176936.376,1472.397,7.749
191,75,191Re,177842.683,1517.296,7.944
191,76,191Os,177840.127,1518.558,7.951
191,77,191Ir,177839.303,1518.088,7.948
191,78,191Pt,177839.801,1516.298,7.939
191,79,191Au,177841.178,1513.627,7.925
191,80,191Hg,177843.884,1509.628,7.904
191,81,191Tl,177847.685,1504.534,7.877
191,82,191Pb,177853.205,1497.72,7.841
191,83,191Bi,177859.704,1489.928,7.801
191,84,191Po,177867.379,1480.96,7.754
192,76,192Os,178772.134,1526.116,7.949
192,77,192Ir,178772.67,1524.286,7.939
192,78,192Pt,178770.7,1524.964,7.943
192,79,192Au,178773.705,1520.666,7.92
192,80,192Hg,178773.96,1519.117,7.912
192,81,192Tl,178779.59,1512.194,7.876
192,82,192Pb,178782.393,1508.098,7.855
192,83,192Bi,178790.888,1498.309,7.804
192,84,192Po,178795.856,1492.048,7.771
193,76,193Os,179706.116,1531.699,7.936
193,77,193Ir,179704.464,1532.058,7.938
193,78,193Pt,179704.01,1531.219,7.934
193,79,193Au,179704.582,1529.354,7.924
193,80,193Hg,179706.414,1526.229,7.908
193,81,193Tl,179709.634,1521.715,7.885
193,82,193Pb,179714.253,1515.803,7.854
193,83,193Bi,179720.059,1508.704,7.817
193,84,193Po,179727.061,1500.408,7.774
193,85,193At,179734.76,1491.416,7.728
194,76,194Os,180638.57,1538.811,7.932
194,77,194Ir,180637.962,1538.125,7.928
194,78,194Pt,180635.218,1539.577,7.936
194,79,194Au,180637.208,1536.293,7.919
194,80,194Hg,180636.766,1535.442,7.915
194,81,194Tl,180641.618,1529.297,7.883
194,82,194Pb,180643.729,1525.892,7.865
194,83,194Bi,180651.436,1516.892,7.819
194,84,194Po,180655.91,1511.125,7.789
194,85,194At,180665.214,1500.527,7.735
195,76,195Os,181572.807,1544.139,7.919
195,77,195Ir,181570.296,1545.357,7.925
195,78,195Pt,181568.678,1545.682,7.927
195,79,195Au,181568.394,1544.673,7.921
195,80,195Hg,181569.453,1542.32,7.909
195,81,195Tl,181571.787,1538.693,7.891
195,82,195Pb,181575.717,1533.47,7.864
195,83,195Bi,181580.896,1526.997,7.831
195,84,195Po,181587.339,1519.261,7.791
195,85,195At,181594.422,1510.885,7.748
195,86,195Rn,181602.457,1501.556,7.7
196,76,196Os,182505.711,1550.801,7.912
196,77,196Ir,182504.04,1551.178,7.914
196,78,196Pt,182500.321,1553.604,7.927
196,79,196Au,182501.318,1551.314,7.915
196,80,196Hg,182500.12,1551.218,7.914
196,81,196Tl,182503.939,1546.106,7.888
196,82,196Pb,182505.564,1543.188,7.873
196,83,196Bi,182512.405,1535.053,7.832
196,84,196Po,182516.429,1529.736,7.805
196,85,196At,182525.472,1519.4,7.752
196,86,196Rn,182530.851,1512.727,7.718
197,77,197Ir,183436.706,1558.078,7.909
197,78,197Pt,183434.04,1559.45,7.916
197,79,197Au,183432.811,1559.386,7.916
197,80,197Hg,183432.9,1558.004,7.909
197,81,197Tl,183434.589,1555.021,7.894
197,82,197Pb,183437.67,1550.647,7.871
197,83,197Bi,183442.22,1544.804,7.842
197,84,197Po,183448.037,1537.693,7.806
197,85,197At,183454.546,1529.891,7.766
197,86,197Rn,183461.855,1521.289,7.722
198,78,198Pt,184366.049,1567.007,7.914
198,79,198Au,184365.864,1565.899,7.909
198,80,198Hg,184363.98,1566.489,7.912
198,81,198Tl,184366.934,1562.242,7.89
198,82,198Pb,184367.863,1560.019,7.879
198,83,198Bi,184374.033,1552.556,7.841
198,84,198Po,184377.418,1547.878,7.818
198,85,198At,184385.71,1538.292,7.769
198,86,198Rn,184390.638,1532.071,7.738
199,77,199Ir,185303.562,1570.352,7.891
199,78,199Pt,185300.059,1572.562,7.902
199,79,199Au,185297.845,1573.483,7.907
199,80,199Hg,185296.882,1573.153,7.905
199,81,199Tl,185297.859,1570.882,7.894
199,82,199Pb,185300.179,1567.269,7.876
199,83,199Bi,185304.098,1562.056,7.85
199,84,199Po,185309.17,1555.691,7.818
199,85,199At,185315.054,1548.514,7.781
199,86,199Rn,185321.843,1540.431,7.741
199,87,199Fr,185329.612,1531.369,7.695
200,78,200Pt,186232.342,1579.844,7.899
200,79,200Au,186231.164,1579.729,7.899
200,80,200Hg,186228.419,1581.181,7.906
200,81,200Tl,186230.364,1577.942,7.89
200,82,200Pb,186230.658,1576.355,7.882
200,83,200Bi,186236.02,1569.7,7.848
200,84,200Po,186238.925,1565.501,7.828
200,85,200At,186246.38,1556.753,7.784
200,86,200Rn,186250.851,1550.989,7.755
200,87,200Fr,186260.466,1540.08,7.7
201,78,201Pt,187166.699,1585.053,7.886
201,79,201Au,187163.527,1586.931,7.895
201,80,201Hg,187161.753,1587.411,7.898
201,81,201Tl,187161.724,1586.148,7.891
201,82,201Pb,187163.137,1583.441,7.878
201,83,201Bi,187166.468,1578.817,7.855
201,84,201Po,187170.848,1573.144,7.827
201,85,201At,187176.073,1566.625,7.794
201,86,201Rn,187182.281,1559.124,7.757
201,87,201Fr,187189.44,1550.672,7.715
202,79,202Au,188097.022,1593.002,7.886
202,80,202Hg,188093.565,1595.165,7.897
202,81,202Tl,188094.417,1593.02,7.886
202,82,202Pb,188093.955,1592.189,7.882
202,83,202Bi,188098.645,1586.205,7.853
202,84,202Po,188100.943,1582.614,7.835
202,85,202At,188107.765,1574.499,7.795
202,86,202Rn,188111.57,1569.4,7.769
202,87,202Fr,188120.474,1559.203,7.719
202,88,202Ra,188126.033,1552.351,7.685
203,79,203Au,189029.773,1599.816,7.881
203,80,203Hg,189027.136,1601.16,7.887
203,81,203Tl,189026.133,1600.87,7.886
203,82,203Pb,189026.596,1599.113,7.877
203,83,203Bi,189029.332,1595.084,7.858
203,84,203Po,189033.054,1590.068,7.833
203,85,203At,189037.687,1584.142,7.804
203,86,203Rn,189043.179,1577.357,7.77
203,87,203Fr,189049.689,1569.553,7.732
203,88,203Ra,189056.957,1560.992,7.69
204,80,204Hg,189959.209,1608.652,7.886
204,81,204Tl,189959.042,1607.526,7.88
204,82,204Pb,189957.767,1607.507,7.88
204,83,204Bi,189961.699,1602.282,7.854
204,84,204Po,189963.521,1599.167,7.839
204,85,204At,189969.469,1591.925,7.804
204,86,204Rn,189972.849,1587.252,7.781
204,87,204Fr,189980.93,1577.878,7.735
204,88,204Ra,189985.865,1571.649,7.704
205,80,205Hg,190893.106,1614.32,7.875
205,81,205Tl,190891.061,1615.072,7.878
205,82,205Pb,190890.601,1614.239,7.874
205,83,205Bi,190892.798,1610.748,7.857
205,84,205Po,190895.84,1606.413,7.836
205,85,205At,190899.866,1601.094,7.81
205,86,205Rn,190904.617,1595.049,7.781
205,87,205Fr,190910.506,1587.867,7.746
205,88,205Ra,190917.145,1579.935,7.707
206,80,206Hg,191825.941,1621.051,7.869
206,81,206Tl,191824.123,1621.575,7.872
206,82,206Pb,191822.079,1622.325,7.875
206,83,206Bi,191825.326,1617.786,7.853
206,84,206Po,191826.661,1615.157,7.841
206,85,206At,191831.912,1608.613,7.809
206,86,206Rn,191834.705,1604.527,7.789
206,87,206Fr,191842.067,1595.871,7.747
206,88,206Ra,191846.364,1590.281,7.72
206,89,206Ac,191855.798,1579.554,7.668
207,80,207Hg,192762.161,1624.396,7.847
207,81,207Tl,192756.836,1628.428,7.867
207,82,207Pb,192754.907,1629.063,7.87
207,83,207Bi,192756.793,1625.883,7.855
207,84,207Po,192759.191,1622.193,7.837
207,85,207At,192762.583,1617.507,7.814
207,86,207Rn,192766.684,1612.113,7.788
207,87,207Fr,192771.964,1605.54,7.756
207,88,207Ra,192777.833,1598.377,7.722
207,89,207Ac,192784.912,1590.005,7.681
208,81,208Tl,193692.614,1632.214,7.847
208,82,208Pb,193687.104,1636.431,7.867
208,83,208Bi,193689.472,1632.77,7.85
208,84,208Po,193690.361,1630.587,7.839
208,85,208At,193694.829,1624.827,7.812
208,86,208Rn,193697.161,1621.201,7.794
208,87,208Fr,193703.628,1613.441,7.757
208,88,208Ra,193707.501,1608.275,7.732
208,89,208Ac,193716.036,1598.446,7.685
209,81,209Tl,194627.22,1637.174,7.833
209,82,209Pb,194622.732,1640.368,7.849
209,83,209Bi,194621.577,1640.23,7.848
209,84,209Po,194622.959,1637.555,7.835
209,85,209At,194625.934,1633.287,7.815
209,86,209Rn,194629.374,1628.554,7.792
209,87,209Fr,194634.023,1622.611,7.764
209,88,209Ra,194639.131,1616.21,7.733
209,89,209Ac,194645.61,1608.438,7.696
209,90,209Th,194652.759,1599.995,7.655
210,81,210Tl,195563.106,1640.854,7.814
210,82,210Pb,195557.113,1645.554,7.836
210,83,210Bi,195556.538,1644.835,7.833
210,84,210Po,195554.866,1645.214,7.834
210,85,210At,195558.336,1640.45,7.812
210,86,210Rn,195560.199,1637.294,7.797
210,87,210Fr,195565.94,1630.26,7.763
210,88,210Ra,195569.236,1625.67,7.741
210,89,210Ac,195577.054,1616.559,7.698
210,90,210Th,195581.796,1610.524,7.669
211,82,211Pb,196492.843,1649.388,7.817
211,83,211Bi,196490.966,1649.972,7.82
211,84,211Po,196489.88,1649.764,7.819
211,85,211At,196490.155,1648.197,7.811
211,86,211Rn,196492.535,1644.523,7.794
211,87,211Fr,196496.622,1639.143,7.768
211,88,211Ra,196501.105,1633.367,7.741
211,89,211Ac,196506.958,1626.22,7.707
211,90,211Th,196513.157,1618.728,7.672
212,82,212Pb,197427.281,1654.515,7.804
212,83,212Bi,197426.201,1654.303,7.803
212,84,212Po,197423.437,1655.773,7.81
212,85,212At,197424.675,1653.242,7.798
212,86,212Rn,197424.125,1652.499,7.795
212,87,212Fr,197428.736,1646.594,7.767
212,88,212Ra,197431.572,1642.465,7.747
212,89,212Ac,197438.532,1634.212,7.709
212,90,212Th,197442.832,1628.618,7.682
212,91,212Pa,197451.84,1618.317,7.634
213,82,213Pb,198363.139,1658.223,7.785
213,83,213Bi,198360.581,1659.488,7.791
213,84,213Po,198358.648,1660.128,7.794
213,85,213At,198358.211,1659.271,7.79
213,86,213Rn,198358.581,1657.608,7.782
213,87,213Fr,198360.218,1654.678,7.768
213,88,213Ra,198363.615,1649.987,7.746
213,89,213Ac,198368.896,1643.413,7.716
213,90,213Th,198374.355,1636.661,7.684
213,91,213Pa,198381.384,1628.338,7.645
214,82,214Pb,199297.636,1663.292,7.772
214,83,214Bi,199296.106,1663.528,7.773
214,84,214Po,199292.325,1666.016,7.785
214,85,214At,199292.904,1664.144,7.776
214,86,214Rn,199291.453,1664.301,7.777
214,87,214Fr,199294.304,1660.157,7.758
214,88,214Ra,199294.852,1658.316,7.749
214,89,214Ac,199300.669,1651.205,7.716
214,90,214Th,199304.441,1646.14,7.692
214,91,214Pa,199312.708,1636.58,7.648
215,83,215Bi,200230.449,1668.751,7.762
215,84,215Po,200227.749,1670.157,7.768
215,85,215At,200226.523,1670.09,7.768
215,86,215Rn,200226.098,1669.222,7.764
215,87,215Fr,200227.074,1666.952,7.753
215,88,215Ra,200228.779,1663.954,7.739
215,89,215Ac,200231.746,1659.694,7.72
215,90,215Th,200236.15,1653.996,7.693
215,91,215Pa,200242.582,1646.271,7.657
216,83,216Bi,201166.168,1672.597,7.744
216,84,216Po,201161.567,1675.905,7.759
216,85,216At,201161.529,1674.649,7.753
216,86,216Rn,201159.017,1675.868,7.759
216,87,216Fr,201161.229,1672.362,7.742
216,88,216Ra,201161.03,1671.268,7.737
216,89,216Ac,201165.351,1665.654,7.711
216,90,216Th,201167.021,1662.69,7.698
216,91,216Pa,201174.006,1654.412,7.659
217,84,217Po,202097.178,1679.859,7.741
217,85,217At,202095.162,1680.581,7.745
217,86,217Rn,202093.914,1680.536,7.744
217,87,217Fr,202094.059,1679.098,7.738
217,88,217Ra,202095.12,1676.743,7.727
217,89,217Ac,202097.429,1673.141,7.71
217,90,217Th,202100.427,1668.85,7.691
217,91,217Pa,202104.77,1663.213,7.665
217,92,217U,202109.889,1656.801,7.635
218,84,218Po,203031.129,1685.473,7.732
218,85,218At,203030.359,1684.95,7.729
218,86,218Rn,203026.966,1687.049,7.739
218,87,218Fr,203028.297,1684.425,7.727
218,88,218Ra,203027.378,1684.051,7.725
218,89,218Ac,203031.056,1679.079,7.702
218,90,218Th,203032.079,1676.763,7.692
218,91,218Pa,203037.863,1669.686,7.659
218,92,218U,203040.603,1665.652,7.641
219,85,219At,203964.151,1690.723,7.72
219,86,219Rn,203962.074,1691.507,7.724
219,87,219Fr,203961.35,1690.937,7.721
219,88,219Ra,203961.615,1689.379,7.714
219,89,219Ac,203963.28,1686.421,7.701
219,90,219Th,203965.669,1682.738,7.684
219,91,219Pa,203969.208,1677.906,7.662
219,92,219U,203973.387,1672.434,7.637
220,85,220At,204899.598,1694.841,7.704
220,86,220Rn,204895.35,1697.796,7.717
220,87,220Fr,204895.709,1696.144,7.71
220,88,220Ra,204893.988,1696.571,7.712
220,89,220Ac,204896.956,1692.31,7.692
220,90,220Th,204897.362,1690.611,7.685
220,91,220Pa,204902.562,1684.117,7.655
221,86,221Rn,205830.703,1702.008,7.701
221,87,221Fr,205828.998,1702.42,7.703
221,88,221Ra,205828.173,1701.952,7.701
221,89,221Ac,205829.218,1699.613,7.691
221,90,221Th,205831.125,1696.413,7.676
221,91,221Pa,205834.056,1692.189,7.657
222,86,222Rn,206764.099,1708.178,7.694
222,87,222Fr,206763.563,1707.42,7.691
222,88,222Ra,206761.024,1708.666,7.697
222,89,222Ac,206762.813,1705.584,7.683
222,90,222Th,206762.884,1704.219,7.677
223,87,223Fr,207697.092,1713.457,7.684
223,88,223Ra,207695.432,1713.824,7.685
223,89,223Ac,207695.512,1712.45,7.679
223,90,223Th,207696.561,1710.108,7.669
223,91,223Pa,207698.984,1706.391,7.652
223,92,223U,207701.993,1702.089,7.633
224,87,224Fr,208631.862,1718.252,7.671
224,88,224Ra,208628.518,1720.302,7.68
224,89,224Ac,208629.415,1718.112,7.67
224,90,224Th,208628.665,1717.569,7.668
224,91,224Pa,208632.028,1712.913,7.647
224,92,224U,208633.361,1710.286,7.635
225,87,225Fr,209565.506,1724.173,7.663
225,88,225Ra,209563.179,1725.207,7.668
225,89,225Ac,209562.312,1724.781,7.666
225,90,225Th,209562.473,1723.326,7.659
225,91,225Pa,209563.992,1720.514,7.647
225,92,225U,209566.518,1716.695,7.63
225,93,225Np,209570.22,1711.699,7.608
226,87,226Fr,210500.56,1728.685,7.649
226,88,226Ra,210496.348,1731.603,7.662
226,89,226Ac,210496.478,1730.18,7.656
226,90,226Th,210494.854,1730.511,7.657
226,91,226Pa,210497.179,1726.892,7.641
226,92,226U,210497.964,1724.814,7.632
227,87,227Fr,211434.334,1734.476,7.641
227,88,227Ra,211431.352,1736.165,7.648
227,89,227Ac,211429.513,1736.71,7.651
227,90,227Th,211428.957,1735.973,7.647
227,91,227Pa,211429.472,1734.165,7.639
227,92,227U,211431.151,1731.192,7.626
227,93,227Np,211434.178,1726.872,7.607
228,88,228Ra,212364.609,1742.473,7.642
228,89,228Ac,212364.052,1741.737,7.639
228,90,228Th,212361.417,1743.078,7.645
228,91,228Pa,212363.058,1740.144,7.632
228,92,228U,212362.848,1739.061,7.627
228,94,228Pu,212368.691,1730.631,7.59
229,87,229Fr,213303.492,1744.449,7.618
229,88,229Ra,213299.724,1746.923,7.628
229,89,229Ac,213297.4,1747.954,7.633
229,90,229Th,213295.726,1748.335,7.635
229,91,229Pa,213295.526,1747.241,7.63
229,92,229U,213296.328,1745.146,7.621
229,93,229Np,213298.386,1741.795,7.606
229,94,229Pu,213301.495,1737.392,7.587
230,88,230Ra,214233.173,1753.04,7.622
230,89,230Ac,214231.954,1752.965,7.622
230,90,230Th,214228.497,1755.129,7.631
230,91,230Pa,214229.297,1753.036,7.622
230,92,230U,214228.226,1752.813,7.621
230,93,230Np,214231.34,1748.406,7.602
230,94,230Pu,214232.523,1745.93,7.591
231,89,231Ac,215165.558,1758.927,7.614
231,90,231Th,215162.944,1760.247,7.62
231,91,231Pa,215162.042,1759.856,7.618
231,92,231U,215161.912,1758.693,7.613
231,93,231Np,215163.224,1756.087,7.602
231,94,231Pu,215165.368,1752.65,7.587
232,89,232Ac,216100.282,1763.768,7.602
232,90,232Th,216096.069,1766.687,7.615
232,91,232Pa,216096.058,1765.405,7.61
232,92,232U,216094.21,1765.96,7.612
232,94,232Pu,216096.943,1760.64,7.589
233,90,233Th,217030.848,1771.474,7.603
233,91,233Pa,217029.094,1771.934,7.605
233,92,233U,217028.013,1771.722,7.604
233,93,233Np,217028.532,1769.91,7.596
233,94,233Pu,217030.121,1767.028,7.584
233,96,233Cm,217036.339,1758.223,7.546
234,90,234Th,217964.223,1777.664,7.597
234,91,234Pa,217963.439,1777.155,7.595
234,92,234U,217960.734,1778.567,7.601
234,93,234Np,217962.032,1775.975,7.59
234,94,234Pu,217961.915,1774.799,7.585
234,96,234Cm,217967.267,1766.86,7.551
235,90,235Th,218899.363,1782.09,7.583
235,91,235Pa,218896.922,1783.237,7.588
235,92,235U,218895.002,1783.864,7.591
235,93,235Np,218894.615,1782.958,7.587
235,94,235Pu,218895.243,1781.036,7.579
236,91,236Pa,219831.436,1788.289,7.577
236,92,236U,219828.021,1790.41,7.586
236,93,236Np,219828.444,1788.694,7.579
236,94,236Pu,219827.456,1788.389,7.578
237,91,237Pa,220765.22,1794.07,7.57
237,92,237U,220762.461,1795.536,7.576
237,93,237Np,220761.431,1795.272,7.575
237,94,237Pu,220761.14,1794.27,7.571
238,91,238Pa,221699.844,1799.011,7.559
238,92,238U,221695.872,1801.69,7.57
238,93,238Np,221695.508,1800.76,7.566
238,94,238Pu,221693.706,1801.269,7.568
238,95,238Am,221695.45,1798.232,7.556
238,96,238Cm,221695.919,1796.469,7.548
239,92,239U,222630.631,1806.496,7.559
239,93,239Np,222628.859,1806.975,7.561
239,94,239Pu,222627.625,1806.916,7.56
239,95,239Am,222627.916,1805.331,7.554
240,92,240U,223564.266,1812.426,7.552
240,93,240Np,223563.355,1812.044,7.55
240,94,240Pu,223560.656,1813.45,7.556
240,95,240Am,223561.53,1811.282,7.547
240,96,240Cm,223561.233,1810.287,7.543
241,93,241Np,224496.794,1818.17,7.544
241,94,241Pu,224494.98,1818.691,7.546
241,95,241Am,224494.448,1817.93,7.543
241,96,241Cm,224494.705,1816.38,7.537
242,93,242Np,225431.448,1823.082,7.533
242,94,242Pu,225428.236,1825.001,7.541
242,95,242Am,225428.476,1823.467,7.535
242,96,242Cm,225427.3,1823.35,7.535
242,98,242Cf,225430.813,1817.25,7.509
243,94,243Pu,226362.767,1830.035,7.531
243,95,243Am,226361.676,1829.832,7.53
243,96,243Cm,226361.173,1829.042,7.527
243,97,243Bk,226362.169,1826.753,7.518
244,94,244Pu,227296.311,1836.056,7.525
244,95,244Am,227295.875,1835.199,7.521
244,96,244Cm,227293.937,1835.844,7.524
244,97,244Bk,227295.688,1832.799,7.511
244,98,244Cf,227295.94,1831.254,7.505
245,94,245Pu,228231.105,1840.827,7.514
245,95,245Am,228229.388,1841.251,7.515
245,96,245Cm,228227.982,1841.364,7.516
245,97,245Bk,228228.282,1839.771,7.509
245,98,245Cf,228229.342,1837.417,7.5
246,94,246Pu,229164.888,1846.61,7.507
246,95,246Am,229163.977,1846.227,7.505
246,96,246Cm,229161.09,1847.822,7.511
246,97,246Bk,229161.93,1845.688,7.503
246,98,246Cf,229161.541,1844.784,7.499
246,100,246Fm,229166.567,1837.171,7.468
247,96,247Cm,230095.499,1852.977,7.502
247,97,247Bk,230094.945,1852.238,7.499
247,98,247Cf,230095.08,1850.81,7.493
248,96,248Cm,231028.851,1859.191,7.497
248,98,248Cf,231027.677,1857.778,7.491
248,100,248Fm,231031.321,1851.547,7.466
249,96,249Cm,231963.703,1863.904,7.486
249,97,249Bk,231962.292,1864.022,7.486
249,98,249Cf,231961.657,1863.364,7.483
250,96,250Cm,232897.436,1869.736,7.479
250,97,250Bk,232896.887,1868.992,7.476
250,98,250Cf,232894.597,1869.989,7.48
250,100,250Fm,232896.477,1865.522,7.462
251,96,251Cm,233832.589,1874.149,7.467
251,97,251Bk,233830.658,1874.786,7.469
251,98,251Cf,233829.054,1875.097,7.471
251,99,251Es,233828.92,1873.938,7.466
251,100,251Fm,233829.884,1871.68,7.457
252,98,252Cf,234762.447,1881.269,7.465
252,99,252Es,234763.192,1879.231,7.457
252,100,252Fm,234762.208,1878.922,7.456
252,102,252No,234767.25,1871.293,7.426
253,98,253Cf,235697.208,1886.074,7.455
253,99,253Es,235696.41,1885.579,7.453
253,100,253Fm,235696.235,1884.46,7.448
254,98,254Cf,236630.742,1892.105,7.449
254,99,254Es,236630.882,1890.672,7.444
254,100,254Fm,236629.284,1890.977,7.445
254,102,254No,236632.081,1885.593,7.424
255,99,255Es,237564.473,1896.646,7.438
255,100,255Fm,237563.672,1896.154,7.436
255,101,255Md,237564.205,1894.327,7.429
255,102,255No,237565.705,1891.534,7.418
256,100,256Fm,238496.853,1902.538,7.432
256,101,256Md,238498.476,1899.622,7.42
256,102,256No,238498.169,1898.635,7.417
256,104,256Rf,238503.559,1890.659,7.385
257,100,257Fm,239431.45,1907.506,7.422
257,101,257Md,239431.347,1906.317,7.418
257,102,257No,239432.08,1904.289,7.41
258,101,258Md,240365.532,1911.696,7.41
260,106,260Sg,242240.857,1909.035,7.342
261,104,261Rf,243168.109,1923.936,7.371
264,108,264Hs,245978.832,1926.736,7.298
265,106,265Sg,246904.568,1943.152,7.333
